variable,wrong_pred_mean,wrong_pred_std,right_pred_mean,right_pred_std,t,p,wrong_minus_right
bio3,31.1417,11.4271,47.5257,24.0638,-92.7101,0.00E+00,-16.3840
bio11,-0.1381,7.7520,9.1306,12.0095,-102.5191,0.00E+00,-9.2688
slope_mean,2.0819,3.0772,3.5263,5.0595,-38.1491,0.00E+00,-1.4444
bio9,7.0308,12.3219,13.2751,11.7741,-65.0833,0.00E+00,-6.2443
bio8,11.7343,8.8659,16.2740,9.7189,-59.0228,0.00E+00,-4.5397
bio7,34.6039,11.5767,23.1526,13.3608,109.3235,0.00E+00,11.4513
tmin,5.6592,8.9814,10.1831,9.5991,-59.2592,0.00E+00,-4.5239
bio18,218.9118,161.3034,287.4842,231.3290,-39.0338,0.00E+00,-68.5724
bio4,800.8296,314.5152,443.7489,381.6154,120.3609,0.00E+00,357.0807
bio6,-7.5834,8.5316,3.0836,12.7044,-111.0509,0.00E+00,-10.6670
bio12,888.5442,549.9419,1121.6829,856.7325,-36.1686,2.17E-284,-233.1388
bio2,11.0361,3.9753,9.9140,4.0402,34.5595,5.37E-260,1.1221
duration_minutes,64.3628,78.3682,92.9012,114.0323,-33.0122,1.47E-237,-28.5384
slope_std,0.2960,0.4790,0.4031,0.5578,-24.5268,2.10E-132,-0.1071
prec,73.4752,59.6332,90.3304,97.7459,-23.0356,4.50E-117,-16.8552
elevation_mean,462.8242,604.8264,553.8674,787.3542,-15.0336,5.11E-51,-91.0432
bio19,207.7454,164.3089,234.9254,257.4110,-14.0423,9.58E-45,-27.1800
eastness_mean,0.0196,0.1601,0.0045,0.1701,11.1348,8.87E-29,0.0151
bio17,105.7573,95.4730,100.7385,110.5010,5.7963,6.80E-09,5.0189
DOY,170.5579,95.4176,167.0156,99.2696,4.4624,8.12E-06,3.5423