ensemble_fold,training_size,recall,precision,average_precision,roc_auc,cohen_kappa,f1
1,38983,0.8264150943396227,0.17016317016317017,0.15068665466823244,0.7892233354214946,0.2058779780698432,0.2822164948453608
2,38983,0.857707509881423,0.16795665634674922,0.15202404972305625,0.8028575055267405,0.20661705411558562,0.2809061488673139
3,38983,0.8701825557809331,0.16097560975609757,0.14720670393832086,0.8033293450678384,0.1972970554445559,0.2716909436352122
4,38983,0.8673469387755102,0.16434648105181748,0.1498039320350245,0.806030232530106,0.2030070408175504,0.27633289986996096
5,38983,0.8574338085539714,0.16330488750969743,0.14784960750264942,0.8011290656398155,0.2006318440744953,0.27435646790485496
6,38983,0.8714285714285714,0.16266666666666665,0.1487930604338293,0.8057781305948721,0.20035524961542295,0.2741573033707865
7,38983,0.8714285714285714,0.16524767801857584,0.1510643282566744,0.8077783426537875,0.20433176790518714,0.2778139232270657
8,38983,0.8714285714285714,0.16404149058778333,0.15001480600514683,0.8066207878500237,0.20233877376846365,0.27610733915292596
9,38983,0.885480572597137,0.16445119635396885,0.15190906069804683,0.8119902565826527,0.2035953566189752,0.27738629083920563
10,38983,0.8793456032719836,0.16449885233358838,0.15127608990415767,0.8099353654948489,0.20346518612952602,0.27715114405414115
1,77967,0.8505747126436781,0.1921310165767925,0.17242887263343942,0.8105811403508772,0.23857694219630576,0.31345715216682957
2,77967,0.8773408239700374,0.19161554192229038,0.17529691229434005,0.8235233103246633,0.2416160994714035,0.31453507888553206
3,77967,0.8864292589027911,0.18869084204056547,0.17380536811453284,0.8266892057225819,0.2388218681662705,0.3111486486486486
4,77967,0.8866279069767442,0.18773081657775953,0.1729800442939569,0.8260311000697206,0.2373191487814581,0.3098543853708093
5,77967,0.8892128279883382,0.19054560599750103,0.17582072095157517,0.8290937839793102,0.24187325717466224,0.3138398216429429
6,77967,0.9015594541910331,0.18978251949117766,0.17677342583333955,0.8330888407630375,0.24131951247403982,0.3135593220338983
7,77967,0.8909626719056974,0.18990787269681741,0.1754476600483559,0.8299956933046486,0.241436388530902,0.31308249913703834
8,77967,0.8968565815324165,0.1912442396313364,0.1774284878296836,0.8331676781923233,0.2438406165693352,0.31526243093922657
9,77967,0.8918387413962635,0.18951107396573338,0.17522309526331156,0.8297607793344137,0.24068949004282403,0.31259693262105803
10,77967,0.8977384464110127,0.18934052260472833,0.17584999198973855,0.831798243870376,0.2407176740009498,0.31272478164069195
1,116950,0.8497880072683223,0.20114695340501793,0.1796631259455873,0.8207600423573427,0.2552951014748047,0.325295617899374
2,116950,0.8885288399222294,0.19298986486486486,0.17771753676283172,0.8340949284356911,0.2479235410051871,0.3171041979877414
3,116950,0.9020381328073636,0.19502487562189055,0.1813992259606028,0.8407238030817746,0.2519000620449867,0.32071061243571763
4,116950,0.9033112582781457,0.19355754221654606,0.18022817362633786,0.840659535389073,0.24999789984097165,0.3188033189201823
5,116950,0.9028609447771124,0.19374643061107938,0.180342520187451,0.8404961646720703,0.2501863402032116,0.3190313859174797
6,116950,0.9095780308104487,0.19075712881022616,0.17852894728652097,0.8413701076602151,0.24617757227145431,0.31537389688806317
7,116950,0.9084791386271871,0.19260950206876873,0.18005444858530373,0.8425076154358492,0.24916006992879314,0.31783402001177163
8,116950,0.9064602960969045,0.19297994269340973,0.18011174198165547,0.8420466647072237,0.2496557141981013,0.3182140326009922
9,116950,0.9150370869858395,0.19289267945984365,0.18121582118826113,0.8451185118197864,0.24990700002225086,0.31861939422399627
10,116950,0.916385704652731,0.19361732440518592,0.18206366227671428,0.8461890529041943,0.25114035784089705,0.3196894848270995
1,155933,0.865943600867679,0.22118794326241134,0.19959050013953508,0.8355231038170896,0.2838221274874395,0.3523700238326419
2,155933,0.8996282527881041,0.21585461032445089,0.20005146158243847,0.8484506996674291,0.2803726861250584,0.34817012858555885
3,155933,0.9137849360492658,0.2128904094470809,0.19955272549622396,0.8525258091625398,0.27709545056280427,0.34532760472610097
4,155933,0.9167063303188958,0.21383368491173532,0.20085427735380515,0.8545840042813448,0.27894757927409053,0.3467770975873245
5,155933,0.9189837008628955,0.2118232044198895,0.1993580821074658,0.8542915672623133,0.27608760200196036,0.3442887931034483
6,155933,0.9240749639596348,0.21288608435735637,0.20112381493616,0.8569190574255727,0.27802107760342853,0.3460500269929819
7,155933,0.9128970163618865,0.21169512331213033,0.1983115711504328,0.8517128678168001,0.27540957647453457,0.34369055168040585
8,155933,0.9157844080846969,0.21483404831790473,0.20162884782529622,0.8547940718158438,0.2803729519420409,0.3480248719824433
9,155933,0.9213699951760733,0.2123165851489551,0.2001856564278522,0.8553796030271807,0.2768919305478523,0.34510795916523623
10,155933,0.9179932465026531,0.21229361892012494,0.1996445464045749,0.854040918393725,0.27663173329467783,0.34484008335598443
1,194916,0.8790713790713791,0.22757445281664873,0.20726880750260324,0.8448843529194391,0.29470018654446173,0.3615505201653128
2,194916,0.9055350553505535,0.22615427149571468,0.21033606742503572,0.8561481140424695,0.295760386723131,0.36192021237371874
3,194916,0.9144786196549137,0.21983769161406672,0.20605480569900686,0.8560960117984184,0.28701020993318016,0.3544635068333818
4,194916,0.916289592760181,0.22423179846821076,0.21036777437512183,0.8594571877967219,0.2937829790005476,0.36029357254058864
5,194916,0.9195140470766895,0.22365869424692955,0.2103708313545622,0.8604844164958584,0.29321388189629327,0.35980093589838824
6,194916,0.9203809523809524,0.22209965067107923,0.20907470771167982,0.8600247564935066,0.29101043343890154,0.3578464045027031
7,194916,0.918960244648318,0.22412828640686183,0.21070072185227387,0.8607612611141946,0.2940342442127919,0.36036576225453454
8,194916,0.9220183486238532,0.2234160800296406,0.2105506532592991,0.861557204014662,0.29318338511042985,0.3596779003877125
9,194916,0.924079754601227,0.2228592565193268,0.21037193444857277,0.8621468545976538,0.2925615713579728,0.35911190582625535
10,194916,0.9221625766871165,0.22407528184105097,0.21117878498136478,0.8620727998636382,0.29423513113594524,0.36054268795442623
1,233900,0.8824374820350676,0.23447643779118613,0.21394905173625384,0.8494867890479922,0.30473226111355023,0.37050446536326337
2,233900,0.9104843654199878,0.23328882255910768,0.21768458758914344,0.861483777976448,0.3062829329007435,0.3714124929656724
3,233900,0.9224057338734808,0.23038605230386053,0.21707688208142983,0.8648417466217736,0.3030328623955063,0.3686865541508377
4,233900,0.9207393483709273,0.23087195600942656,0.21723769262220016,0.8644622217914507,0.30364027756132994,0.36917472679311647
5,233900,0.9250629722921915,0.232915807832567,0.2198799149399179,0.8670942462904943,0.30683987605850394,0.3721342621912603
6,233900,0.9258441148627328,0.23173524998025433,0.21892159064513855,0.8667978578899006,0.3051776855869871,0.37068856601389766
7,233900,0.9218601708320152,0.23209876543209876,0.21856763766094664,0.8654292533373961,0.30543201332262626,0.37083227284296255
8,233900,0.9285036380892123,0.23234642178594048,0.21994879296320363,0.8681772341755855,0.3062699143458305,0.37168365731653263
9,233900,0.9257849666983825,0.23205342237061768,0.21920597402927086,0.8669449267341733,0.30564180985144807,0.3710907704042715
10,233900,0.9273707580082461,0.2316773631249505,0.21913190587035278,0.867366494662274,0.3051998806017975,0.3707366552554837
1,272884,0.8866666666666667,0.242176962503372,0.22151646655999885,0.8549740775106023,0.31611314203403085,0.3804428435215595
2,272884,0.9096622152395916,0.23956968484932073,0.2232681301722707,0.8641187022232837,0.31516432980772546,0.3792576419213974
3,272884,0.9264196214342842,0.23427492752646126,0.22137569366985402,0.8683400290562945,0.30892694589880465,0.37397761515281963
4,272884,0.9256575415995706,0.23878427028523955,0.22540692761476822,0.8705826468988523,0.3156111582322584,0.3796367638965328
5,272884,0.9251351351351351,0.23749392909179212,0.2241183539393723,0.8697340765552686,0.31370495186647696,0.3779605807983217
6,272884,0.9311653116531166,0.23581085718207398,0.2236266990840747,0.871314115359237,0.31173107534511435,0.37632112151579866
7,272884,0.9283193049144719,0.23743055555555556,0.22462848596276264,0.8709723953754798,0.31385393631792247,0.3781452192667146
8,272884,0.9291338582677166,0.2377379463665416,0.2250586390667563,0.8714781673195947,0.3143805173896459,0.37860264424406703
9,272884,0.9330247753879662,0.23574327577904658,0.22389353133191786,0.8720010225109153,0.3117568998101069,0.37638660076880837
10,272884,0.9308467193030221,0.23754602931980823,0.22518587026409856,0.8720784581510518,0.31424043245424815,0.3785010516993247
1,311867,0.9005119074115291,0.24033264033264035,0.22219014629467881,0.862668462095371,0.3168871842437887,0.3794073518379595
2,311867,0.9240265906932573,0.23403487672880335,0.2205832193352316,0.8706516933268903,0.3108118477937667,0.3734766337203723
3,311867,0.9319447808186001,0.2302537099090474,0.218449102169522,0.8721677001747884,0.30606161544755384,0.3692721078643059
4,311867,0.9303966901922609,0.23558047818585162,0.223134610367952,0.8743485091458141,0.3137961412910575,0.3759649899198505
5,311867,0.932664054848188,0.23322312025471467,0.22134315211083452,0.874012199634521,0.31048434516836965,0.3731387147335423
6,311867,0.9334969325153374,0.23246150085553655,0.22077836462835798,0.8739712055506115,0.30944083185162474,0.37222956113312783
7,311867,0.9345955249569707,0.23405172413793104,0.22245976389459263,0.8751761284470253,0.31181449055534693,0.37435367114788004
8,311867,0.9345955249569707,0.23301863658656205,0.22149491989930356,0.8746250613333171,0.310286139278136,0.37303106138672165
9,311867,0.9356826022671266,0.2323461020682903,0.2210560300262997,0.874741589078468,0.30939813903191893,0.3722549019607843
10,311867,0.9354361754558896,0.23354251261228007,0.22213245229143894,0.8752503007794263,0.3111286252673061,0.3737692004726271
1,350851,0.9043747580332946,0.24905378751532598,0.2308882579212895,0.8665656535750758,0.3283164270354656,0.3905538140020898
2,350851,0.929159802306425,0.24845814977973568,0.2349927359866547,0.8774590759055362,0.33039051939032515,0.39207507820646503
3,350851,0.936541290187014,0.2424390774586597,0.23074491972911212,0.8779153744234494,0.3225769375762686,0.3851704619107289
4,350851,0.9370245139475909,0.24838944596941348,0.23640658479876386,0.8810458302090819,0.33124675665328684,0.39268476287472875
5,350851,0.9384844614729673,0.24759925871848149,0.23593979452478464,0.8813461472883435,0.3302887820068977,0.3918240391024217
6,350851,0.9402092675635276,0.2412074065958146,0.23025430600574726,0.8790215799249872,0.3212424961742749,0.3839211753934691
7,350851,0.9408866995073891,0.2454189944134078,0.23433948548568267,0.8813987318537948,0.32742675357666196,0.38929505073330667
8,350851,0.9421717712572285,0.2443617375847128,0.23358343564265835,0.881430849576784,0.3260167560704088,0.3880728684222134
9,350851,0.9408983451536643,0.24411731905877104,0.23311206537784568,0.8809091583096124,0.3256440715954859,0.38765661663788903
10,350851,0.9381044487427466,0.2452247191011236,0.23363031710214646,0.8803208160285735,0.32702896802864523,0.38881218545405954
1,389834,0.9056136001416681,0.2541623179762437,0.23568497226281585,0.8703951316285667,0.33640467541062014,0.39692642036634584
2,389834,0.9307808374198415,0.24928019396878315,0.23598996636739136,0.8802350281708667,0.3329722146829539,0.39324275867564445
3,389834,0.9369715603382014,0.24344700184732138,0.23170679794482812,0.8801908460712787,0.3252272218639505,0.38647802480878213
4,389834,0.9360386473429951,0.24628838722798455,0.23418834632428598,0.8812663566076617,0.3293203571622144,0.3899690053536207
5,389834,0.9394470404984424,0.24539721289797578,0.23399197438649805,0.8823411628043173,0.3283892987707945,0.38914428582950245
6,389834,0.9443468072642062,0.24338198288877705,0.23300997585274305,0.8834248794290334,0.3259051252301265,0.3870193269577048
7,389834,0.9440313111545988,0.2456712161336321,0.23511342707005925,0.8843561616966563,0.32916169950311847,0.3898811929200679
8,389834,0.9436399217221135,0.246158558374598,0.2354991132421853,0.8844371261706572,0.32983984402333166,0.3904611522733714
9,389834,0.945065724936237,0.2447040894081788,0.23439354380675423,0.8843478090873356,0.3278699835173642,0.38874989912032926
10,389834,0.9446733372572101,0.2453503184713376,0.23493065473196165,0.8844872879044556,0.3287655642829854,0.38953159129520265
